id,horario,produtos,total,pago,formato,mod
0,11:46,490/5-156/9-69/4-445/1-442/8-393/6-437/6,1863.9545,0,cartão de crédito,9%
1,11:46,196/6-478/1-112/1-459/9-75/10-109/5-195/8-450/8-44/8-269/2,3851.35,0,cartão de crédito,0%
2,11:46,336/1-495/3-355/8-358/7-463/2-368/1-233/7-314/4,987.85,0,cartão de crédito,0%
3,11:46,278/1-132/1-423/8-192/6-128/2-440/1,876.2999999999998,0,dinheiro,0%
4,11:46,437/4-4/5-24/10-483/1,960.25,0,cartão de crédito,0%
5,11:46,196/5-207/3-121/7-243/2-223/2-157/9-224/1-299/6,2886.5,0,cartão de crédito,0%
6,11:46,440/4-444/4,556.5999999999999,0,cartão de débito,0%
7,11:46,355/1-184/9-451/7-302/6-456/2-320/10,2226.4,0,cartão de crédito,0%
8,11:46,200/1-445/6-334/4-62/4-418/5-176/7,1232.7999999999995,0,cartão de crédito,0%
9,11:48,36/9,932.5350000000001,0,cartão de crédito,6%
10,11:48,101/5-276/1-480/3-433/4-80/3-279/4-316/7-445/1-452/5-182/10-180/4,3392.5,0,cartão de crédito,0%
11,11:48,355/7-412/6-140/6-299/2-179/2-314/2-199/9,1399.5499999999997,0,cartão de débito,0%
12,11:48,489/8-386/1-440/7-179/4-125/8-251/3-357/8-101/7-182/1,3724.8500000000004,0,cartão de débito,0%
13,11:48,185/8-75/9-291/4-42/9-184/4,1739.9499999999998,0,dinheiro,0%
14,11:48,102/4-97/6-412/1-264/4-144/7,1091.3500000000001,0,cartão de débito,0%
15,11:48,14/2-47/8-5/10,1490.4,0,cartão de débito,0%
16,11:48,351/10-140/4-399/2-224/5,1676.7,0,cartão de débito,0%
17,11:48,95/8-73/7-473/8-422/2-427/10-73/4-291/10-6/6-193/1-26/10,3679.9999999999995,0,dinheiro,0%
