id,horario,produtos,total,pago,formato,mod
0,2021/06/01 - 11:04,2/5,20.0,50.0,dinheiro,0
1,2021/06/01 - 11:15,50/1,550.0,1000.0,cartão de crédito,0
2,2021/06/01 - 11:20,50/0,1700.0,0.0,dinheiro,0
3,2021/06/01 - 11:22,10/6,0.0,0.0,dinheiro,0
4,2021/06/09 - 19:04,187/9-33/6-68/4,684.25,0.0,cartão de crédido,0
5,2021/06/09 - 19:04,242/4-67/3-242/4-179/9-440/10-206/4-365/3,3124.55,0.0,cartão de crédido,0
6,2021/06/09 - 19:04,40/8-437/7-433/5-37/9-218/1-353/6-259/1-419/7-187/5-435/9,3638.6,0.0,cartão de débito,0
7,2021/06/09 - 19:04,178/5-110/1-403/1-454/5-402/4-261/6-320/10-59/6-284/7,2044.7,0.0,cartão de crédido,0
8,2021/06/09 - 19:04,395/4-431/7-151/7-446/5-138/2-71/10-331/4-140/5-63/8,2554.15,0.0,cartão de débito,0
9,2021/06/09 - 19:04,408/10-191/9-146/0,1046.5,0.0,cartão de débito,0
10,2021/06/09 - 19:04,418/2-51/3,248.4,0.0,dinheiro,0
11,2021/06/09 - 19:04,487/4-81/1-237/1-492/0-320/8-87/9-171/10-51/8-489/4,2347.15,0.0,cartão de crédido,0
12,2021/06/09 - 19:04,8/9-89/6-244/1-80/10,1915.9,0.0,cartão de crédido,0
13,2021/06/09 - 19:04,418/0-70/3-353/8-322/3-141/2,1143.1,0.0,cartão de crédido,0
14,2021/06/09 - 19:04,261/0-194/9-250/8-363/3,1567.4499999999998,0.0,dinheiro,-6
15,2021/06/09 - 19:04,398/10-420/2,200.1,0.0,cartão de débito,0
16,2021/06/09 - 19:04,329/0-168/8-283/6,1090.1999999999998,0.0,dinheiro,0
17,2021/06/09 - 19:04,411/9-111/7-155/5,1906.7,0.0,cartão de crédido,0
18,2021/06/09 - 19:04,387/1-423/5-40/6-479/0,420.9,0.0,cartão de crédido,0
19,2021/06/09 - 19:04,65/7-211/3,385.25,0.0,dinheiro,0
20,2021/06/09 - 19:04,14/7-201/2-106/5-120/9-428/1-112/3-127/1-245/3,1811.25,0.0,cartão de débito,0
21,2021/06/09 - 19:04,252/1-56/9-97/9-480/5-476/1,2197.65,0.0,dinheiro,0
22,2021/06/09 - 19:04,157/0-67/3-360/7-295/7-384/3-86/4-133/6-476/7-147/6,2606.0839999999994,0.0,cartão de crédido,4
23,2021/06/09 - 19:04,467/8-396/3-92/5-497/5-445/0-300/1-282/5-189/2-296/3,1462.7999999999995,0.0,dinheiro,0
24,2021/06/09 - 19:04,219/4-493/6-44/5-408/9-287/2-246/6-228/6-414/2,2109.054,0.0,cartão de débito,-7
26,2021/06/09 - 19:04,109/4-178/7-264/2-58/4-320/3,999.35,0.0,cartão de débito,0
27,2021/06/09 - 19:04,4/5-159/10,833.75,0.0,dinheiro,0
29,2021/06/09 - 19:04,202/6-237/9-438/7-165/7,1493.85,0.0,cartão de débito,0
30,2021/06/09 - 19:04,425/1-259/4-343/5,790.05,0.0,cartão de débito,0
31,2021/06/09 - 19:04,126/1,74.06,0.0,cartão de crédido,-8
32,2021/06/09 - 19:04,17/5-66/8-271/2-118/6-199/2-34/2-57/8-437/9-451/7-273/0,2635.8,0.0,dinheiro,0
33,2021/06/09 - 19:04,152/2,52.9,0.0,dinheiro,0
34,2021/06/09 - 19:04,153/5-40/7-399/10-433/0-394/9,1580.1,0.0,cartão de débito,0
35,2021/06/09 - 19:04,188/1-476/4-313/5-458/6,918.85,0.0,cartão de débito,0
36,2021/06/09 - 19:04,248/2-350/6-149/9-47/0,769.35,0.0,dinheiro,0
37,2021/06/09 - 19:04,399/9-432/1-332/3,365.7000000000001,0.0,cartão de débito,0
38,2021/06/09 - 19:04,152/8-346/10-152/2-40/1-319/9,1628.4,0.0,cartão de débito,0
39,2021/06/09 - 19:04,449/7-262/5,1010.85,0.0,cartão de débito,0
42,2021/06/09 - 19:04,132/9-215/4-123/4-83/2-486/9-248/5-187/7-154/2-269/10,2835.9,0.0,dinheiro,0
43,2021/06/09 - 19:04,336/5-215/6-94/8,346.15000000000003,0.0,cartão de débito,0
44,2021/06/09 - 19:04,18/10-82/3,331.2,0.0,dinheiro,0
45,2021/06/09 - 19:04,265/9-311/8-203/10-484/0-91/3-333/2-139/5-7/2,1795.15,0.0,cartão de débito,0
47,2021/06/09 - 19:04,366/1-275/2-407/6,190.9,0.0,cartão de crédido,0
48,2021/06/09 - 19:04,3/8-210/9-483/2-290/7-108/2,1033.85,0.0,cartão de débito,0
49,2021/06/09 - 19:04,137/2-168/3-107/7,676.2,0.0,cartão de débito,0
51,2021/06/09 - 19:04,232/6-246/4-499/7-239/3-196/0-387/5-253/4-369/10-160/6,2216.05,0.0,dinheiro,0
53,2021/06/09 - 19:04,42/0-14/2-137/7-125/0-465/0-88/10-211/9-194/10-276/6-0/0,2126.143,0.0,cartão de crédido,-3
54,2021/06/09 - 19:04,367/10-213/6-284/9-164/1-373/10-368/7-352/9-127/10-50/9-346/3,3582.158,0.0,dinheiro,-14
55,2021/06/09 - 19:04,236/5-363/5-489/5-67/0-109/0,925.75,0.0,cartão de débito,0
56,2021/06/09 - 19:04,296/4-459/2-178/7-368/6-105/9-219/3-17/0-227/9-15/8,2218.3499999999995,0.0,dinheiro,0
58,2021/06/09 - 19:04,421/8-71/2,851.0,0.0,dinheiro,0
59,2021/06/09 - 19:04,23/7,772.8000000000001,0.0,dinheiro,0
60,2021/06/09 - 19:04,446/5-289/6-46/1-415/3-361/8-124/5-360/4-484/4-362/2,2364.4,0.0,cartão de crédido,0
61,2021/06/09 - 19:04,221/9,320.85,0.0,dinheiro,0
62,2021/06/09 - 19:04,352/4-337/8-275/7-498/7,737.15,0.0,cartão de débito,0
63,2021/06/09 - 19:04,451/1-242/0-464/10-163/5-285/3-277/3-53/4,1164.9499999999998,0.0,cartão de débito,0
64,2021/06/09 - 19:04,269/0-42/6-44/2,499.1,0.0,cartão de crédido,0
65,2021/06/09 - 19:04,196/0-383/6-92/2-73/1-357/5-218/9-188/0,1342.05,0.0,cartão de débito,0
66,2021/06/09 - 19:04,104/7-453/2-101/4,948.75,0.0,dinheiro,0
67,2021/06/09 - 19:04,222/7-436/10-118/1-113/5-113/2-283/3-342/4-131/6-356/7,2209.15,0.0,dinheiro,0
68,2021/06/09 - 19:04,495/4-468/0-114/10-254/3-153/6,1599.696,0.0,cartão de débito,-8
69,2021/06/09 - 19:04,70/7-26/3-24/3-214/0-69/0-8/1-337/10-120/6-5/6,2298.85,0.0,dinheiro,0
70,2021/06/09 - 19:04,140/2-383/9-405/0-411/7-398/8-93/8-325/4-444/8-361/3,2425.35,0.0,dinheiro,0
71,2021/06/09 - 19:04,382/1-382/1-226/6-449/2-133/2,538.2,0.0,cartão de crédido,0
72,2021/06/09 - 19:04,491/6-21/8-429/4-454/9,1162.4199999999998,0.0,dinheiro,-5
73,2021/06/09 - 19:04,230/10,954.5,0.0,cartão de débito,0
74,2021/06/09 - 19:04,117/9-37/0-120/6-456/5-463/5,1831.95,0.0,dinheiro,0
75,2021/06/09 - 19:04,94/5-286/10-287/7-99/5-461/6-156/4,1309.85,0.0,dinheiro,0
76,2021/06/09 - 19:04,165/4-303/6-267/7-423/10-28/3-301/5-239/5-47/3-432/5-89/2,2631.2,0.0,cartão de débito,0
77,2021/06/09 - 19:04,438/3-396/5-85/4-170/1-330/1,623.3,0.0,cartão de débito,0
78,2021/06/09 - 19:04,217/8-96/8-172/7-485/0-351/0-262/10-329/3-244/2-396/4-377/5,4016.95,0.0,cartão de crédido,0
79,2021/06/09 - 19:04,364/2-282/1-109/1-223/5-418/9-109/8-173/2,1723.8499999999997,0.0,cartão de débito,0
80,2021/06/09 - 19:04,201/6-249/5-325/2-463/9-332/4,840.6500000000001,0.0,dinheiro,0
81,2021/06/09 - 19:04,428/9,258.75,0.0,cartão de débito,0
82,2021/06/09 - 19:04,368/10-102/7-11/10-124/7-219/0-491/1-390/0-67/2-151/6,3206.2,0.0,dinheiro,0
83,2021/06/09 - 19:04,427/8-370/8-307/7-95/5-499/4-412/6,1553.88,0.0,cartão de débito,-20
84,2021/06/09 - 19:04,14/6-372/7-499/7-242/1-478/9,1911.3,0.0,cartão de crédido,0
85,2021/06/09 - 19:04,400/4-398/2,97.911,0.0,cartão de crédido,-1
86,2021/06/09 - 19:04,273/4-229/9,611.8,0.0,cartão de débito,0
87,2021/06/09 - 19:04,122/2-297/0-275/9-11/7-238/2-199/0-492/6,1159.2,0.0,dinheiro,0
88,2021/06/09 - 19:04,382/5-449/6-174/2-289/3-474/4-94/5,1297.1999999999998,0.0,cartão de débito,0
89,2021/06/09 - 19:04,130/0-468/7-108/4-437/8-201/5-57/7-241/0-346/4,1094.8,0.0,dinheiro,0
90,2021/06/09 - 19:04,30/6,551.448,0.0,cartão de crédido,8
91,2021/06/09 - 19:04,163/8-448/3-34/10-412/9-373/3-166/9-45/5-204/10-325/7-424/9,3535.3989999999994,0.0,cartão de débito,-2
92,2021/06/09 - 19:04,436/1-234/6,493.35,0.0,cartão de crédido,0
93,2021/06/09 - 19:04,452/0,0.0,0.0,cartão de crédido,0
94,2021/06/09 - 19:04,251/4-241/7-22/10-174/9-374/4-11/8-157/7,3206.361,0.0,cartão de débito,-7
95,2021/06/09 - 19:04,357/10-440/6-419/6-485/8-195/1-31/6,2403.5,0.0,dinheiro,0
96,2021/06/09 - 19:04,238/10-482/7-242/6-250/8-320/1-456/6-37/7-140/1-449/0-167/6,3731.75,0.0,cartão de crédido,0
97,2021/06/09 - 19:04,298/2-124/9-344/9-496/2-180/0-412/4,1505.35,0.0,dinheiro,0
98,2021/06/09 - 19:04,80/4-109/5,501.4,0.0,cartão de débito,0
99,2021/06/09 - 19:04,142/6-381/2-132/5-366/2,746.3499999999999,0.0,cartão de crédido,0
100,2021/06/09 - 19:04,407/5-174/7-317/5-488/10-207/1-298/0-226/8-496/0-170/6-319/3,2325.3,0.0,dinheiro,0
101,2021/06/09 - 19:04,272/5-329/10-324/3-215/0-292/3-36/4,1668.6499999999996,0.0,dinheiro,0
102,2021/06/09 - 19:04,276/9-410/6-496/6-22/10,1843.45,0.0,dinheiro,0
104,2021/06/09 - 19:04,397/5-147/9-65/4-16/3-127/4-170/6-270/2-87/9,2276.402,0.0,cartão de crédido,-18
105,2021/06/09 - 19:04,246/4-21/1-260/3-35/3-299/4-238/1,1012.0,0.0,cartão de crédido,0
106,2021/06/09 - 19:04,56/4-394/0-122/6-441/0-332/2-155/10-378/4-220/7-72/1-251/3,2287.3500000000004,0.0,cartão de crédido,0
107,2021/06/09 - 19:04,463/8-91/10-163/0,529.0,0.0,dinheiro,0
108,2021/06/09 - 19:04,423/5-306/8-200/1-70/2-488/4-205/9-213/1-282/4-250/6-162/10,2266.65,0.0,cartão de crédido,0
109,2021/06/09 - 19:04,261/10-98/3-48/9-395/3-458/4-218/9-196/0-63/0-25/4,2624.8749999999995,0.0,cartão de crédido,10
110,2021/06/09 - 19:04,192/8-298/6-91/8-26/2-188/3-163/3-247/7,2211.45,0.0,cartão de débito,0
112,2021/06/09 - 19:04,176/9-262/6-413/2-224/9-352/3-258/0-347/4-10/3-456/8-52/0,3083.15,0.0,dinheiro,0
113,2021/06/09 - 19:04,326/3-65/3-402/10-278/8-193/8-86/10,1421.4,0.0,cartão de débito,0
114,2021/06/09 - 19:04,171/5-38/5-469/0-52/5,563.5,0.0,cartão de crédido,0
115,2021/06/09 - 19:04,35/5-197/8-478/1-254/10-324/9,2487.45,0.0,cartão de débito,0
116,2021/06/09 - 19:04,298/4-62/0-318/1-219/9-90/9-350/5-329/0,2516.2,0.0,cartão de débito,0
117,2021/06/09 - 19:04,365/7-70/4-498/1-32/0-449/5-256/8,2166.6,0.0,dinheiro,0
118,2021/06/09 - 19:04,467/4-202/9-67/7-212/6-262/5-265/5-107/9-95/0-61/4-362/2,2825.55,0.0,dinheiro,0
119,2021/06/09 - 19:04,331/8,404.8,0.0,cartão de débito,0
120,2021/06/09 - 19:04,269/7-434/5-77/0-306/2-454/1,615.25,0.0,dinheiro,0
121,2021/06/09 - 19:04,8/6,358.79999999999995,0.0,dinheiro,0
123,2021/06/09 - 19:04,406/5-429/6-45/9-231/1,556.5999999999999,0.0,cartão de crédido,0
124,2021/06/09 - 19:04,451/7,652.0500000000001,0.0,cartão de crédido,0
127,2021/06/09 - 19:04,23/9,993.6,0.0,dinheiro,0
129,2021/06/09 - 19:04,209/7-29/9-425/9,2003.3,0.0,dinheiro,0
130,2021/06/09 - 19:04,204/5-244/5-198/2-7/8-463/8-219/8-240/8-200/0,2440.3,0.0,dinheiro,0
131,2021/06/09 - 19:04,9/1-36/5-310/4-294/9-86/8-109/4-87/3-75/3-268/0,2451.8,0.0,cartão de crédido,0
132,2021/06/09 - 19:04,375/6-279/0,96.6,0.0,cartão de crédido,0
133,2021/06/09 - 19:04,97/2-193/8-345/7-405/6-402/4-243/1-399/10,1385.7499999999998,0.0,cartão de crédido,0
134,2021/06/09 - 19:04,140/5-332/3-464/5-457/3-357/2,875.15,0.0,cartão de crédido,0
135,2021/06/09 - 19:04,491/1-254/3-318/2-222/2-280/8-183/3,930.35,0.0,dinheiro,0
136,2021/06/09 - 19:04,188/5-484/8-35/1-246/8,1691.65,0.0,cartão de crédido,0
137,2021/06/09 - 19:04,267/4-20/2-322/10-249/8-257/1,1319.7399999999998,0.0,cartão de débito,-5
138,2021/06/09 - 19:04,242/10-227/9-248/5-279/10-293/2,2352.9,0.0,dinheiro,0
139,2021/06/09 - 19:04,181/4-318/7-44/8-268/0-216/0,1304.1,0.0,dinheiro,0
140,2021/06/09 - 19:04,23/7,772.8000000000001,0.0,cartão de débito,0
141,2021/06/09 - 19:04,463/7,40.25,0.0,cartão de crédido,0
142,2021/06/09 - 19:04,35/0-24/5-267/8-495/3-289/6-465/0-51/6,1038.4499999999998,0.0,cartão de crédido,5
143,2021/06/09 - 19:04,173/8-90/2-29/6-210/7-26/3,1856.1,0.0,cartão de débito,0
144,2021/06/09 - 19:04,314/2,154.1,0.0,cartão de crédido,0
145,2021/06/09 - 19:04,287/0-262/3-150/8-233/4-122/9-330/7-5/4-277/3,1183.35,0.0,cartão de débito,0
146,2021/06/09 - 19:04,489/3-51/1-251/2-351/3-229/2-159/1,653.2,0.0,cartão de débito,0
147,2021/06/09 - 19:04,203/9-122/2-31/7-189/0-302/2-273/4,968.3,0.0,cartão de débito,0
149,2021/06/09 - 19:04,336/6-284/0-204/6-250/5-130/5-35/1-382/8-122/5-482/5,2327.6,0.0,cartão de débito,0
150,2021/06/09 - 19:04,457/9-119/6-229/10-256/5-286/3-90/5,1871.05,0.0,cartão de débito,0
151,2021/06/09 - 19:04,181/7-128/6-32/4-275/2-194/5,1323.65,0.0,dinheiro,0
152,2021/06/09 - 19:04,119/8-142/8,138.0,0.0,dinheiro,0
153,2021/06/09 - 19:04,300/8,874.0,0.0,dinheiro,0
154,2021/06/09 - 19:04,402/6-325/4-62/7-464/3-420/2-197/8-250/0,1565.15,0.0,cartão de débito,0
